ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
ST-536,111,109,17,149,161,13,23
ST-537,14,117,133,192,27,132,136
ST-538,84,109,25,193,12,23,23
ST-539,168,14,15,146,5,90,12
ST-541,14,162,43,123,118,115,120
ST-542,161,163,96,178,155,12,33
ST-543,117,135,18,12,162,162,38
ST-544,4,164,134,195,132,46,158
ST-545,45,15,15,12,130,172,18
ST-546,14,14,122,172,6,7,2
ST-547,182,36,3,196,163,173,159
ST-548,13,11,25,197,12,71,4
ST-549,70,112,8,198,164,6,48
ST-550,175,11,125,199,9,174,160
ST-551,177,165,8,196,39,9,153
ST-553,171,156,15,7,5,132,2
ST-554,110,159,78,183,136,9,126
ST-555,172,166,10,122,61,90,86
ST-556,170,20,3,201,165,9,33
ST-557,175,11,125,199,9,9,160
ST-558,110,167,135,202,166,45,102
ST-559,84,7,25,197,167,71,3
ST-560,174,7,35,203,168,8,162
ST-561,70,110,35,204,156,74,163
ST-562,37,4,46,205,8,175,164
ST-563,173,168,25,206,40,176,165
ST-564,11,169,38,149,40,35,23
ST-565,101,64,3,163,76,19,101
ST-566,2,20,10,207,169,9,139
ST-567,111,170,8,208,8,9,157
ST-568,183,7,12,9,5,9,2
ST-569,10,7,12,209,5,9,2
ST-570,2,171,24,14,2,19,8
ST-571,168,4,15,210,170,177,166
ST-572,22,11,16,21,184,23,4
ST-573,184,25,29,211,129,178,131
ST-574,29,173,30,212,21,145,132
ST-575,31,28,136,28,23,29,81
ST-576,33,152,30,213,131,87,134
ST-577,185,37,98,204,172,179,167
ST-578,139,174,68,132,133,9,168
ST-579,111,46,137,16,40,58,63
ST-580,99,175,46,11,111,180,1
ST-581,25,176,27,214,18,181,169
ST-582,2,5,116,88,5,19,12
ST-583,138,152,135,215,136,9,3
ST-584,6,18,46,124,2,175,12
ST-585,5,64,40,216,173,103,170
ST-586,47,98,36,152,174,61,171
ST-587,117,70,68,132,175,9,172
ST-588,186,35,78,75,39,182,97
ST-589,187,12,17,16,13,16,4
ST-590,188,112,121,14,176,183,1
ST-591,51,48,138,88,177,2,22
ST-592,189,70,68,132,175,9,172
ST-593,61,177,25,183,136,9,126
ST-594,43,47,49,16,178,15,3
ST-595,190,35,90,75,179,182,173
ST-596,31,28,32,28,23,29,81
ST-599,14,7,3,12,6,19,12
ST-600,192,11,49,42,161,13,3
ST-601,123,73,97,121,6,120,72
ST-603,14,178,3,12,182,171,143
ST-604,170,20,3,218,165,9,33
ST-605,41,179,131,219,66,9,18
ST-606,103,2,10,220,184,185,102
ST-607,13,177,16,104,40,23,3
ST-608,22,104,48,113,114,13,23
ST-610,84,37,129,222,8,9,175
ST-612,169,84,8,189,8,169,156
ST-613,170,180,79,107,8,172,177
ST-614,10,7,21,14,185,12,12
ST-615,169,84,8,189,8,169,176
ST-616,5,2,130,7,6,6,11
ST-617,13,181,49,13,183,71,4
ST-618,178,182,10,10,39,10,14
ST-619,5,172,8,224,186,186,22
ST-620,193,183,43,220,187,9,156
ST-621,39,184,108,223,188,187,85
ST-622,150,75,140,225,132,157,178
ST-623,179,172,79,226,3,188,179
ST-625,194,4,79,227,169,189,180
ST-627,195,172,79,228,2,79,16
ST-628,169,84,8,189,158,190,156
ST-630,36,31,35,543,26,6,8
ST-631,72,32,36,33,27,33,3
ST-632,72,4,141,33,62,74,3
ST-633,5,133,141,94,189,101,126
ST-634,34,31,35,229,26,6,8
ST-635,37,33,37,34,6,191,34
ST-636,48,14,35,14,26,44,8
ST-637,39,190,40,72,40,165,183
ST-638,47,98,36,152,174,7,171
ST-639,99,175,58,11,111,9,2
ST-640,5,2,3,7,6,11,11
ST-643,25,176,27,22,18,67,91
ST-644,33,26,30,55,21,145,28
ST-645,29,26,30,26,21,87,28
ST-646,145,26,30,26,131,87,134
ST-647,7,107,79,235,192,193,105
ST-648,6,182,10,10,39,10,14
ST-649,108,191,78,96,95,9,184
ST-651,41,84,36,20,2,94,84
ST-652,200,192,144,236,2,65,72
ST-653,46,124,112,12,113,19,18
ST-654,111,47,49,42,12,58,3
ST-674,3,3,7,4,3,137,7
ST-675,155,41,80,53,55,184,49
ST-676,3,3,7,4,3,193,7
ST-677,3,3,7,4,3,74,7
ST-678,19,20,3,20,29,22,22
ST-679,46,122,3,18,6,19,1
ST-680,201,14,18,9,6,12,17
ST-681,20,4,145,14,16,19,18
ST-682,45,60,12,237,193,2,96
ST-683,202,194,8,36,29,8,36
ST-684,147,13,15,123,15,19,17
ST-691,10,2,3,7,60,6,11
ST-694,14,7,41,12,36,19,12
ST-695,2,7,9,9,6,9,12
ST-696,5,75,54,4,76,109,75
ST-697,13,80,113,174,10,107,23
ST-698,10,37,21,14,15,12,12
ST-699,43,41,16,21,34,13,4
ST-713,39,11,8,72,161,58,4
ST-714,13,10,25,113,114,71,4
ST-715,22,10,25,21,10,35,4
ST-719,99,175,58,157,111,9,2
ST-723,62,53,54,60,5,53,187
ST-725,10,7,12,9,90,9,2
ST-726,136,133,40,183,2,9,95
ST-727,207,14,3,77,64,64,67
ST-728,84,161,8,75,206,197,188
ST-729,56,25,8,83,207,26,78
ST-730,79,197,18,46,66,10,34
ST-731,202,193,54,245,64,9,185
ST-732,209,46,8,132,113,83,161
ST-733,20,4,23,14,16,198,18
ST-734,20,4,23,14,16,19,189
ST-735,188,199,21,62,36,39,190
ST-736,127,90,40,94,150,199,95
ST-737,22,200,25,72,10,23,23
ST-738,210,11,17,113,209,107,4
ST-739,5,2,3,7,210,200,11
ST-741,2,201,146,9,6,19,17
ST-743,41,202,8,78,213,9,67
ST-744,213,14,21,98,214,201,191
ST-745,214,2,3,7,6,6,11
ST-746,215,203,3,125,215,101,192
ST-747,5,2,147,7,31,41,11
ST-748,11,41,55,42,34,58,193
ST-749,84,204,8,247,216,6,194
ST-750,13,205,17,16,217,16,195
ST-751,217,208,13,249,218,23,4
ST-752,218,210,3,252,2,9,12
ST-754,13,109,49,13,220,13,4
ST-755,219,7,10,103,2,10,14
ST-756,220,211,149,92,221,204,198
ST-757,221,211,150,253,222,205,199
ST-758,110,169,54,254,40,35,3
ST-759,84,212,38,16,12,13,200
ST-760,208,198,96,244,208,119,201
