ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
ST-1556,74,7,12,9,5,9,13
ST-1557,10,395,12,9,5,9,2
ST-1558,5,2,3,497,6,6,11
ST-1560,2,14,24,14,2,19,140
ST-1561,418,14,224,499,89,313,2
ST-1562,2,4,40,43,66,2,425
ST-1563,11,10,302,42,40,13,4
ST-1564,11,14,10,500,5,10,14
ST-1565,118,4,8,106,2,117,22
ST-1566,13,109,303,157,12,13,4
ST-1567,41,42,43,501,9,12,2
ST-1568,420,10,25,42,40,13,4
ST-1569,421,105,23,14,38,7,102
ST-1570,422,63,119,186,36,35,426
ST-1571,423,6,70,8,7,79,13
ST-1572,5,2,301,6,5,5,10
ST-1573,13,34,71,80,59,83,427
ST-1574,2,15,304,138,130,139,12
ST-1575,42,11,48,149,12,13,4
ST-1576,43,41,16,493,40,58,3
ST-1577,2,14,24,14,428,19,8
ST-1578,46,396,23,14,16,54,56
ST-1579,309,395,287,209,426,197,419
ST-1580,14,56,304,209,84,365,423
ST-1581,72,32,36,33,429,79,209
ST-1582,20,4,305,14,16,19,18
ST-1583,17,8,3,14,97,19,14
ST-1584,408,92,84,97,430,104,98
ST-1585,19,20,298,20,90,22,22
ST-1586,10,19,6,9,5,9,2
ST-1587,173,349,43,128,61,58,428
ST-1588,20,4,23,14,16,385,18
ST-1589,46,55,23,502,16,54,56
ST-1590,105,117,8,78,5,9,2
ST-1591,39,41,25,74,431,13,3
ST-1592,13,11,16,503,12,15,63
ST-1593,222,105,46,123,225,115,115
ST-1596,111,47,49,16,40,35,3
ST-1602,59,70,93,78,113,6,68
ST-1604,426,399,68,21,136,83,432
ST-1605,2,29,33,17,5,30,12
ST-1606,41,42,299,58,9,12,2
ST-1607,50,80,25,85,432,58,4
ST-1608,10,400,18,153,8,9,22
ST-1609,118,107,8,505,2,117,16
ST-1610,92,14,18,506,6,386,14
ST-1611,15,70,93,78,113,387,68
ST-1612,10,129,18,153,8,9,22
ST-1614,50,402,25,72,59,292,63
ST-1615,2,7,9,9,434,9,12
ST-1618,45,4,8,44,140,9,8
ST-1619,2,14,24,14,2,130,8
ST-1620,10,60,58,66,125,65,16
ST-1621,186,35,78,510,39,182,435
ST-1622,41,179,131,219,8,9,18
ST-1626,42,11,48,149,11,13,4
ST-1628,46,60,10,9,6,12,17
ST-1630,51,45,43,50,42,43,45
ST-1632,5,2,307,7,6,6,11
ST-1633,5,2,3,7,6,390,11
ST-1634,380,404,276,511,240,360,208
ST-1635,16,2,45,43,36,391,42
ST-1636,247,225,166,304,270,251,255
ST-1637,161,163,96,178,155,12,142
ST-1638,110,190,25,441,184,45,102
ST-1639,428,148,308,418,437,9,87
ST-1640,84,405,309,512,438,322,137
ST-1641,198,148,142,513,1,2,181
ST-1642,260,176,27,514,18,231,174
ST-1643,42,406,310,515,439,35,438
ST-1644,429,104,25,85,33,322,4
ST-1645,430,288,249,424,440,392,439
ST-1646,431,407,3,516,441,46,135
ST-1647,10,7,12,517,112,9,2
ST-1649,10,7,12,518,5,9,2
ST-1650,10,7,12,9,112,9,440
ST-1651,10,7,12,9,5,393,2
ST-1652,18,7,128,9,39,9,166
ST-1653,10,408,12,9,5,9,2
ST-1654,10,7,12,9,5,9,17
ST-1656,46,409,98,20,206,9,67
ST-1657,15,70,312,78,113,6,68
ST-1658,41,42,299,18,9,12,2
ST-1659,417,216,8,163,29,207,86
ST-1660,42,11,48,149,59,13,4
ST-1662,17,4,15,500,442,9,151
ST-1663,18,14,313,519,5,18,21
ST-1664,17,7,35,9,443,9,14
ST-1666,136,133,40,350,2,7,95
ST-1667,41,133,271,183,139,157,148
ST-1668,3,3,7,4,444,3,7
ST-1669,208,105,23,14,38,7,102
ST-1670,5,14,21,9,6,64,17
ST-1671,23,22,300,22,85,353,25
ST-1672,100,92,314,97,98,395,98
ST-1673,5,2,3,6,5,5,2
ST-1674,13,12,17,520,13,16,4
ST-1675,13,11,315,15,12,15,4
ST-1676,147,13,15,123,15,9,17
ST-1677,11,41,55,42,34,58,12
ST-1679,76,70,68,247,64,9,67
ST-1680,76,411,3,77,64,64,67
ST-1681,10,19,12,9,90,9,2
ST-1682,10,7,12,9,5,9,22
ST-1683,10,7,12,11,5,9,2
ST-1684,10,19,12,9,5,281,2
ST-1685,5,2,3,7,6,387,11
ST-1686,10,7,12,9,5,9,286
ST-1687,7,11,25,197,12,71,4
ST-1689,408,92,317,97,419,104,98
ST-1690,10,189,43,12,190,20,18
ST-1691,13,63,3,197,6,6,11
ST-1692,14,107,43,156,64,151,87
ST-1693,14,13,12,156,5,151,2
ST-1694,10,14,15,121,25,20,33
ST-1695,5,2,316,7,6,399,11
ST-1696,118,107,8,51,2,20,16
ST-1697,15,70,93,78,113,6,11
ST-1698,2,2,15,14,190,20,12
ST-1699,10,60,58,66,6,65,12
ST-1700,117,414,15,33,38,20,17
ST-1701,203,415,48,13,12,402,137
ST-1702,5,2,3,522,6,6,11
ST-1703,182,413,10,196,39,173,446
ST-1704,434,416,131,523,402,109,447
ST-1705,14,194,318,218,6,9,101
ST-1706,346,3,98,524,2,319,101
ST-1707,435,115,3,130,445,128,370
ST-1708,6,13,98,379,2,19,338
ST-1709,173,4,233,96,446,108,101
ST-1710,304,104,25,402,2,285,277
ST-1711,312,288,319,450,362,328,382
ST-1712,383,417,320,525,447,403,448
ST-1714,83,80,25,164,12,9,450
ST-1715,110,127,17,13,33,23,451
ST-1716,13,12,25,526,28,9,4
ST-1717,436,4,8,159,189,404,95
ST-1718,14,419,47,20,179,405,452
ST-1719,100,92,84,244,98,395,98
ST-1720,14,75,321,43,5,7,453
ST-1721,437,273,40,94,449,101,454
ST-1722,41,46,322,20,6,316,455
ST-1723,13,224,40,42,12,23,23
ST-1724,438,90,323,183,139,53,41
ST-1725,318,420,188,527,85,84,456
ST-1726,220,221,324,81,243,406,412
ST-1727,25,82,325,22,18,85,25
ST-1728,25,77,192,22,18,407,222
ST-1729,229,77,80,465,277,367,25
ST-1730,247,225,166,276,450,374,408
ST-1731,88,26,30,26,21,87,457
ST-1732,30,28,326,151,22,29,30
ST-1733,380,13,276,528,240,408,208
ST-1734,439,28,31,151,22,29,30
ST-1735,440,421,10,529,451,116,216
ST-1736,441,422,68,412,213,132,272
ST-1737,84,11,25,42,452,6,4
ST-1738,84,11,3,243,453,409,303
ST-1739,4,36,8,163,206,83,458
ST-1740,255,26,30,282,21,87,28
ST-1741,33,26,30,25,21,27,28
ST-1742,88,26,327,213,21,229,28
ST-1743,442,288,249,424,454,410,291
ST-1744,19,73,15,7,5,6,22
ST-1745,19,73,12,9,8,9,11
ST-1746,10,7,12,9,6,9,2
ST-1747,5,2,12,7,6,6,11
ST-1748,10,7,12,9,5,9,8
ST-1749,14,7,18,12,14,18,1
ST-1750,75,67,10,17,15,9,14
ST-1751,71,65,143,75,73,9,64
ST-1752,36,31,35,14,73,8,8
ST-1753,36,31,35,8,26,34,8
ST-1754,10,7,16,42,5,9,2
ST-1755,84,11,3,7,40,71,4
ST-1756,39,35,8,75,29,9,36
ST-1760,312,90,328,530,76,337,291
ST-1761,150,423,153,531,455,146,166
ST-1762,127,90,40,361,76,100,126
ST-1763,75,2,18,110,325,310,459
ST-1764,13,140,17,16,456,322,460
ST-1765,443,86,40,532,61,58,461
ST-1766,444,110,35,533,140,74,105
ST-1767,93,110,18,534,164,9,3
ST-1768,111,47,49,16,41,411,4
ST-1769,152,424,108,535,5,74,462
ST-1770,2,157,44,536,163,9,463
ST-1772,25,77,27,22,18,85,91
ST-1773,37,20,330,62,115,221,22
ST-1774,173,413,8,538,457,412,465
ST-1775,61,46,25,183,9,45,368
ST-1776,10,19,12,9,5,9,466
ST-1777,10,7,12,9,458,9,2
ST-1778,10,7,12,9,84,9,2
ST-1779,10,19,12,9,84,9,2
ST-1780,10,19,12,9,5,413,2
ST-1781,18,14,12,9,5,18,2
ST-1782,10,7,12,9,5,9,9
ST-1783,14,13,18,205,14,18,2
ST-1785,18,14,12,123,5,18,3
ST-1786,10,60,58,9,6,9,16
ST-1790,10,187,12,234,5,9,2
ST-1791,10,19,12,9,5,9,15
ST-1792,14,210,8,14,38,19,102
ST-1793,5,14,108,12,5,14,58
ST-1794,5,85,79,88,76,95,85
ST-1795,16,16,20,18,8,12,11
ST-1796,104,100,54,78,104,74,48
ST-1797,130,2,25,125,84,9,101
ST-1798,140,392,40,125,140,9,18
ST-1799,202,4,10,33,90,6,275
ST-1800,202,20,10,33,3,6,275
ST-1801,10,7,21,12,15,12,23
ST-1802,10,7,21,12,15,12,467
ST-1803,5,2,3,381,6,6,11
ST-1805,18,7,128,9,39,9,322
ST-1807,84,161,8,75,206,197,172
ST-1808,7,6,8,8,7,12,13
ST-1809,5,320,3,7,6,6,11
ST-1810,11,10,25,13,40,13,4
ST-1811,127,133,25,33,8,149,468
ST-1812,95,353,27,53,55,414,375
ST-1813,288,77,27,167,18,415,236
ST-1814,2,13,10,540,459,416,34
ST-1815,14,2,331,7,105,19,12
ST-1816,5,2,332,38,460,5,10
ST-1817,2,5,8,7,5,7,12
ST-1818,189,193,8,539,64,9,185
ST-1822,16,2,61,43,36,417,42
ST-1823,14,178,3,12,5,171,143
ST-1824,17,18,22,17,462,21,19
ST-1825,17,18,22,17,5,21,469
ST-1826,72,4,36,33,62,74,3
ST-1827,446,31,35,14,26,40,8
ST-1828,48,31,35,14,26,52,470
ST-1830,88,26,30,55,21,87,471
ST-1831,50,10,25,13,10,421,4
ST-1832,43,41,25,42,12,13,23
ST-1833,100,92,84,97,463,104,98
ST-1834,13,426,274,46,5,422,84
ST-1835,2,427,40,43,66,423,425
ST-1836,202,428,102,544,100,424,472
ST-1837,41,14,336,545,5,142,104
ST-1838,46,122,3,18,6,138,1
ST-1839,448,245,333,292,296,418,76
ST-1840,385,234,81,542,221,233,240
ST-1841,447,425,334,68,296,419,76
ST-1842,449,425,335,541,461,420,76
ST-1843,64,252,337,53,55,67,49
ST-1844,88,26,30,84,21,32,80
ST-1845,88,26,30,84,21,92,80
ST-1846,33,271,30,282,21,87,473
ST-1847,29,286,30,84,21,275,474
ST-1848,33,26,30,144,464,87,134
ST-1849,145,26,30,144,21,87,475
ST-1850,88,26,30,546,21,87,80
ST-1851,33,378,30,282,21,28,134
ST-1853,161,163,338,178,155,12,142
ST-1854,88,26,339,55,21,425,28
ST-1855,33,26,30,25,230,27,28
ST-1856,1,1,340,1,1,1,5
ST-1859,10,3,312,51,36,109,2
ST-1861,450,14,253,547,466,7,16
ST-1863,215,12,3,7,5,6,11
ST-1864,93,135,26,370,36,78,70
ST-1865,115,175,8,115,8,116,2
ST-1866,10,60,21,125,8,7,182
ST-1867,60,429,17,16,13,16,4
ST-1868,15,14,341,8,7,19,18
ST-1869,30,28,31,27,467,29,476
ST-1870,10,59,23,549,38,9,477
ST-1871,10,7,20,9,5,7,18
ST-1872,45,4,35,119,27,56,8
ST-1873,16,347,146,219,8,9,2
ST-1874,16,2,8,18,8,9,339
ST-1875,33,26,30,282,21,87,473
ST-1876,451,26,30,84,21,92,80
ST-1877,452,26,30,144,131,145,134
ST-1878,88,26,30,55,470,68,471
ST-1879,5,14,3,7,6,6,11
ST-1880,255,26,30,282,21,229,28
ST-1881,88,255,30,55,21,68,471
ST-1883,111,109,17,149,41,221,23
ST-1885,14,72,21,12,6,19,478
ST-1886,14,13,18,550,14,18,1
ST-1887,445,251,80,22,55,184,240
ST-1888,445,425,333,68,296,418,249
ST-1889,291,430,43,143,90,426,1
ST-1890,18,7,47,9,5,427,12
ST-1891,152,14,344,551,89,313,2
ST-1901,10,7,343,9,5,9,2
ST-1916,453,431,10,552,471,39,82
ST-1917,92,137,8,524,206,313,330
ST-1918,5,2,3,7,64,6,11
ST-1919,1,1,1,1,1,1,9
ST-1920,10,7,12,553,5,9,2
ST-1921,10,432,12,9,5,9,2
ST-1922,10,7,12,554,5,9,2
ST-1923,173,293,21,91,115,12,293
ST-1924,173,6,8,8,7,8,13
ST-1925,454,2,3,7,6,6,11
ST-1928,197,187,10,234,8,9,22
ST-1932,5,3,7,9,6,3,7
ST-1934,5,21,18,33,6,12,480
ST-1935,10,71,12,12,190,9,18
ST-1936,10,7,3,9,5,19,2
ST-1937,12,2,10,14,11,10,16
ST-1938,45,4,8,555,27,56,8
ST-1939,45,4,8,44,27,430,8
ST-1940,5,2,3,7,6,431,11
ST-1941,117,135,21,12,76,162,38
ST-1942,13,140,25,526,12,13,4
ST-1943,15,222,3,131,6,180,338
ST-1954,11,10,25,42,337,13,4
ST-1955,17,18,22,17,90,21,19
ST-1956,147,13,346,123,15,19,17
ST-1958,10,19,12,9,5,434,2
ST-1959,313,445,3,507,480,388,333
ST-1960,14,2,78,236,31,161,281
ST-1961,5,2,3,7,31,41,2
ST-1963,10,19,12,9,5,469,2
ST-1964,14,210,377,14,38,470,12
ST-1965,11,10,25,42,10,13,4
ST-1966,11,10,25,42,334,13,4
ST-1967,492,2,3,7,6,6,11
ST-1968,140,392,40,592,140,180,18
ST-1969,10,7,12,596,5,9,2
ST-1970,497,2,3,7,6,6,11
ST-1971,101,64,25,163,438,19,383
ST-1972,5,67,3,14,5,192,1
ST-1973,5,2,360,7,6,6,11
ST-1974,5,2,378,7,6,6,11
ST-1975,5,2,374,7,5,6,10
ST-1976,5,2,379,7,6,6,11
ST-1977,5,2,380,7,6,6,11
ST-1978,214,2,381,7,507,6,11
ST-1979,498,2,3,7,6,6,11
ST-1980,5,2,382,597,6,471,508
ST-1981,5,2,3,7,6,6,508
ST-1982,5,2,3,597,6,6,508
ST-1983,5,2,3,591,6,6,11
ST-1984,5,2,3,7,6,6,509
ST-1985,14,81,111,564,39,226,41
ST-1986,51,48,85,50,42,43,45
ST-1987,203,83,48,13,12,23,4
ST-1988,71,139,25,565,36,156,147
ST-1989,210,11,17,113,59,71,4
ST-1990,6,4,46,124,2,175,12
ST-1991,11,41,25,560,10,23,4
ST-1992,17,15,8,128,71,185,419
ST-1993,140,105,8,93,2,10,58
ST-1994,15,199,283,43,115,162,483
ST-1995,5,101,18,561,36,12,12
ST-1996,17,303,3,238,199,10,12
ST-1997,199,4,43,128,6,9,182
ST-1998,110,4,8,184,84,19,22
ST-1999,127,439,350,163,76,438,124
ST-2000,17,14,10,500,5,10,14
ST-2001,5,440,10,563,2,207,452
ST-2002,168,14,347,559,5,90,12
ST-2003,463,2,9,88,2,14,12
ST-2004,14,15,15,64,8,2,12
ST-2005,469,133,40,33,150,226,95
ST-2006,140,13,18,88,475,12,482
ST-2007,14,2,108,562,105,19,104
ST-2008,161,147,348,178,155,436,142
ST-2009,72,32,40,33,139,79,324
ST-2010,136,90,111,33,39,226,41
ST-2011,5,2,3,12,2,19,16
ST-2012,117,436,15,124,156,439,8
ST-2013,464,435,8,196,184,437,446
ST-2014,18,436,349,12,193,14,12
ST-2015,5,14,18,561,36,12,12
ST-2016,466,438,10,195,312,64,101
ST-2017,127,441,133,96,2,157,484
ST-2018,127,41,40,279,304,101,4
ST-2019,161,147,348,178,155,12,142
ST-2020,13,46,25,49,146,16,4
ST-2021,467,152,40,216,39,103,153
ST-2022,127,439,350,163,84,19,124
ST-2023,18,437,10,121,193,9,319
ST-2024,14,2,331,7,477,19,12
ST-2025,117,14,23,127,151,7,157
ST-2026,2,2,43,7,162,9,17
ST-2027,13,10,351,347,12,440,283
ST-2028,140,94,85,66,214,10,58
ST-2029,82,455,26,12,115,78,70
ST-2030,484,15,78,576,391,2,503
ST-2031,46,14,15,12,36,19,18
ST-2032,12,2,15,578,11,14,16
ST-2033,168,14,15,559,5,90,12
ST-2034,16,2,366,43,36,39,42
ST-2035,127,90,40,94,122,100,327
ST-2036,41,332,79,579,28,14,96
ST-2037,5,2,3,6,5,448,10
ST-2038,436,4,8,159,100,3,95
ST-2039,2,2,9,7,105,19,86
ST-2040,302,8,11,11,5,11,15
ST-2041,42,169,48,16,12,23,4
ST-2042,39,410,298,577,184,101,41
ST-2043,110,410,298,577,184,101,41
ST-2044,10,348,21,14,494,12,420
ST-2045,16,16,26,18,478,12,18
ST-2046,47,64,108,96,491,455,303
ST-2047,487,46,38,384,403,284,504
ST-2048,486,245,27,359,55,67,490
ST-2049,2,443,15,7,5,443,16
ST-2050,41,89,8,33,94,456,94
ST-2051,346,133,356,94,488,226,4
ST-2052,93,4,368,90,5,96,87
ST-2053,483,28,355,454,493,29,30
ST-2054,397,446,121,99,485,9,406
ST-2055,378,26,30,55,21,28,28
ST-2056,127,4,25,163,84,19,22
ST-2057,145,26,30,25,496,145,28
ST-2058,488,28,31,151,22,29,30
ST-2059,485,71,365,130,6,162,115
ST-2060,83,63,296,13,40,23,63
ST-2061,2,15,10,581,323,7,72
ST-2062,18,2,18,12,495,7,12
ST-2063,11,10,353,13,40,13,4
ST-2064,41,332,367,62,28,14,96
ST-2065,6,14,26,583,8,9,38
ST-2066,10,456,12,9,70,9,2
ST-2067,10,7,12,9,5,461,2
ST-2068,112,175,85,584,111,19,108
ST-2069,11,10,25,13,500,35,193
ST-2070,145,452,30,282,141,87,28
ST-2071,2,7,9,9,5,9,33
ST-2072,10,457,12,9,5,9,2
ST-2073,118,4,8,106,2,462,22
ST-2074,10,7,12,589,112,9,2
ST-2075,22,11,25,13,102,107,4
ST-2076,10,7,370,9,5,9,2
ST-2077,112,162,85,98,503,465,108
ST-2078,10,19,12,586,5,9,2
ST-2079,10,19,12,9,5,467,2
ST-2080,10,7,12,585,112,9,2
ST-2081,490,458,369,587,502,463,385
ST-2082,10,7,12,9,5,464,2
ST-2083,10,7,12,568,5,9,2
ST-2084,5,21,18,588,6,12,17
ST-2085,128,119,371,27,22,129,30
ST-2086,30,28,372,27,22,29,30
ST-2087,10,7,12,9,501,9,2
ST-2088,11,10,373,13,10,468,4
ST-2089,10,7,12,590,5,9,2
ST-2090,491,347,18,438,2,347,170
ST-2091,5,2,3,595,6,6,11
ST-2092,5,14,21,9,6,458,17
ST-2093,10,7,12,9,5,9,505
ST-2094,10,7,12,9,5,466,2
ST-2095,161,147,151,178,155,12,142
ST-2096,136,133,40,94,189,101,126
ST-2097,48,31,35,14,26,44,8
ST-2098,5,460,375,7,60,6,507
ST-2099,12,2,15,14,11,14,498
ST-2100,494,430,78,593,505,6,506
ST-2101,495,147,348,178,155,436,142
ST-2102,5,2,3,594,6,6,11
ST-2103,183,7,12,570,5,9,2
ST-2104,5,39,3,38,5,19,18
ST-2105,136,133,40,94,2,9,95
ST-2106,10,459,3,589,6,6,11
ST-2107,5,460,3,7,60,6,11
ST-2108,496,436,376,7,505,18,34
ST-2109,280,252,337,53,55,184,49
ST-2110,10,19,35,9,5,9,2
ST-2111,18,7,128,9,39,9,481
ST-2112,477,245,27,359,55,184,490
ST-2113,2,14,24,14,2,19,488
ST-2114,43,47,49,149,41,15,4
ST-2115,18,7,47,567,5,9,175
ST-2116,86,77,27,22,18,152,25
ST-2117,18,7,35,9,5,9,12
ST-2118,46,71,365,130,6,162,115
ST-2119,2,31,10,62,14,19,34
ST-2120,101,64,25,163,84,6,22
ST-2121,14,2,108,139,105,19,104
ST-2122,72,32,40,33,476,79,324
ST-2123,468,104,25,21,12,13,4
ST-2124,10,60,58,66,6,65,39
ST-2125,2,4,40,43,481,2,425
ST-2126,22,462,25,21,40,23,4
ST-2127,65,25,29,82,20,50,51
ST-2128,41,4,248,12,5,132,12
ST-2129,41,129,18,153,8,9,22
ST-2130,173,442,352,566,132,442,322
ST-2131,65,25,29,24,20,50,497
ST-2132,62,53,54,60,508,53,54
ST-2133,499,463,10,36,25,46,36
ST-2134,500,464,383,14,37,19,8
ST-2135,231,38,288,598,236,340,510
ST-2136,13,140,16,42,33,71,4
ST-2137,13,10,25,113,509,71,4
ST-2138,1,465,2,1,1,1,5
ST-2139,501,129,10,599,8,142,18
ST-2140,25,466,187,22,277,264,511
ST-2141,15,70,93,78,510,6,68
ST-2142,30,28,31,580,497,29,30
ST-2143,35,4,3,33,482,449,41
ST-2144,5,2,3,7,6,6,512
ST-2145,25,132,80,22,85,184,91
ST-2146,17,18,22,600,5,21,19
ST-2147,465,75,8,216,8,146,97
ST-2148,33,26,30,26,511,32,28
ST-2149,127,90,40,361,2,226,513
ST-2150,50,80,25,601,40,58,4
ST-2151,5,2,361,7,31,41,11
ST-2152,13,80,25,16,40,58,4
ST-2153,502,467,25,402,136,472,3
ST-2154,103,98,384,115,100,473,514
ST-2155,83,12,25,148,33,23,63
ST-2156,117,124,358,470,76,65,17
ST-2157,444,179,21,12,38,19,515
ST-2158,30,468,31,473,512,29,30
ST-2159,503,12,17,72,33,23,4
ST-2160,1,1,385,3,1,1,5
ST-2161,17,469,47,9,5,9,16
ST-2162,39,142,17,346,337,58,516
ST-2163,405,82,27,214,18,474,249
ST-2164,398,435,90,196,39,437,446
ST-2165,504,64,40,128,513,475,517
ST-2166,14,14,21,172,5,19,17
ST-2167,10,14,15,31,514,20,33
ST-2168,155,138,121,99,145,444,146
ST-2169,41,470,43,58,9,12,2
ST-2170,505,58,56,62,51,59,16
ST-2171,506,471,29,487,237,26,518
ST-2172,2,71,41,17,370,19,12
ST-2173,1,1,2,1,1,476,5
ST-2174,22,104,25,113,12,107,4
ST-2175,42,46,48,48,40,477,4
ST-2176,360,18,8,122,206,97,36
ST-2177,16,16,20,602,8,12,18
ST-2178,13,11,16,85,12,15,63
ST-2179,6,7,10,10,8,478,14
ST-2180,507,31,10,62,14,19,34
ST-2181,17,18,22,603,5,21,19
ST-2182,478,11,48,149,12,13,4
ST-2183,130,97,25,125,84,9,519
ST-2184,508,7,12,9,5,9,2
ST-2185,31,472,386,151,22,29,30
ST-2186,18,473,12,9,5,18,21
ST-2187,101,64,3,163,76,90,101
ST-2188,60,12,17,16,13,479,4
ST-2189,84,76,25,197,167,71,3
ST-2190,168,14,112,12,8,126,12
ST-2191,111,140,49,526,516,16,4
ST-2192,145,26,30,144,21,480,475
ST-2193,509,474,32,27,22,29,30
ST-2194,162,475,387,604,517,6,16
ST-2195,510,245,27,68,518,67,520
ST-2196,56,25,388,605,519,26,27
ST-2197,470,28,31,151,22,29,30
ST-2198,10,115,3,606,4,128,8
ST-2199,10,7,12,9,5,9,521
ST-2200,9,9,6,12,9,481,2
ST-2201,128,119,100,27,22,129,522
ST-2202,11,11,389,149,33,58,4
ST-2203,12,2,390,14,11,14,16
ST-2204,13,426,391,607,5,132,161
ST-2205,311,476,40,608,63,482,323
ST-2206,376,477,219,275,490,295,385
ST-2207,161,1,56,316,520,12,142
ST-2208,346,4,8,125,76,19,101
ST-2209,1,1,2,1,484,1,5
ST-2210,10,7,12,609,5,9,2
ST-2211,10,7,12,9,8,9,2
ST-2212,10,7,12,9,5,9,523
ST-2213,18,14,12,610,5,128,21
ST-2214,10,7,392,9,5,9,2
ST-2215,14,14,43,172,96,483,2
ST-2216,45,4,393,44,27,9,8
ST-2217,401,383,290,582,498,459,409
ST-2218,511,1,2,1,1,1,5
ST-2219,2,31,10,62,14,19,495
ST-2220,13,127,92,113,114,107,524
ST-2221,11,41,25,195,10,23,4
ST-2222,437,41,109,279,2,100,95
ST-2223,127,133,40,94,2,484,95
ST-2224,41,332,79,16,28,14,96
ST-2225,127,81,111,564,39,226,41
ST-2226,140,105,394,93,14,10,3
ST-2227,111,47,49,42,12,58,525
ST-2228,30,28,395,611,22,148,30
ST-2229,41,42,43,612,9,12,2
ST-2230,1,1,1,1,1,1,526
ST-2231,512,1,2,1,1,1,5
ST-2232,11,206,38,16,311,35,527
ST-2233,1,478,2,1,1,1,5
ST-2234,513,19,12,9,5,9,2
ST-2235,346,4,25,125,76,19,124
ST-2236,216,479,25,613,311,485,528
ST-2237,514,34,38,16,33,35,410
ST-2238,15,70,396,78,113,6,68
ST-2239,133,241,34,614,266,137,32
ST-2240,50,80,25,85,40,58,529
ST-2241,515,389,397,492,521,295,376
ST-2242,39,3,398,615,161,9,272
ST-2243,5,480,399,7,31,41,11
ST-2244,1,1,2,616,1,1,5
ST-2245,18,14,15,14,193,19,12
ST-2246,231,38,400,617,236,216,209
ST-2247,75,14,21,12,115,78,530
ST-2248,117,90,40,163,39,90,22
ST-2249,127,41,109,279,2,100,95
ST-2250,516,13,401,131,522,2,531
ST-2251,13,481,17,16,13,16,4
ST-2252,471,77,27,22,18,85,91
ST-2253,52,63,48,186,36,35,426
ST-2254,1,1,340,1,1,486,5
ST-2255,231,38,402,363,342,216,209
ST-2256,5,85,79,88,76,95,501
ST-2257,65,143,29,618,20,26,60
ST-2258,517,63,48,186,36,83,426
ST-2259,392,154,127,471,486,369,402
ST-2260,42,46,48,619,40,35,4
ST-2261,430,288,219,275,523,295,291
ST-2262,46,7,47,12,36,19,18
ST-2263,5,37,250,122,2,9,532
ST-2264,72,90,40,33,39,226,95
ST-2265,380,482,276,458,240,360,392
ST-2266,208,483,26,620,524,119,90
ST-2267,518,133,356,94,488,226,4
ST-2268,41,42,43,58,9,487,2
ST-2269,11,41,55,42,525,58,4
ST-2270,519,129,18,153,8,9,22
ST-2271,111,484,403,8,206,488,128
ST-2272,140,94,18,621,214,9,58
ST-2273,520,4,85,116,214,489,194
ST-2274,521,252,27,53,46,184,49
ST-2275,522,353,27,53,55,184,289
ST-2276,523,2,3,7,6,6,11
ST-2277,13,485,71,80,59,83,4
ST-2278,11,41,55,42,515,58,4
ST-2279,13,11,16,15,12,490,4
ST-2280,285,26,30,213,21,87,28
ST-2281,294,28,31,622,22,29,533
ST-2282,342,25,28,24,48,26,534
ST-2283,17,18,22,17,5,491,19
ST-2284,524,109,8,120,117,45,4
ST-2285,525,467,25,402,136,472,3
ST-2286,430,288,219,275,362,492,376
ST-2287,303,118,111,623,150,132,4
ST-2288,47,15,8,12,71,303,419
ST-2289,137,435,10,196,526,359,102
ST-2290,6,486,404,624,25,2,535
ST-2291,145,26,30,268,141,272,28
ST-2292,358,46,25,625,161,16,4
ST-2293,312,288,219,626,63,328,376
ST-2294,526,31,10,62,14,19,34
ST-2295,110,153,260,441,187,493,536
ST-2296,2,14,24,14,527,19,107
ST-2297,10,7,12,9,528,9,2
ST-2298,312,477,219,275,490,494,291
ST-2299,16,487,20,18,8,447,18
ST-2300,110,97,25,125,84,19,537
ST-2301,56,25,405,24,357,26,538
ST-2302,110,46,119,187,483,450,3
ST-2303,84,76,38,16,12,13,539
ST-2304,527,4,8,106,2,117,16
ST-2305,5,410,406,72,36,389,126
ST-2306,30,488,31,27,22,29,540
ST-2307,25,77,27,380,18,24,25
ST-2308,16,16,20,18,8,447,18
ST-2309,30,28,31,151,22,29,30
ST-2310,39,83,8,72,33,16,4
ST-2311,10,4,3,130,529,128,370
ST-2312,41,13,10,627,5,19,12
ST-2313,65,25,29,82,20,50,27
ST-2314,161,489,124,175,391,161,150
ST-2315,17,188,15,7,5,9,22
ST-2316,242,221,407,81,243,84,377
ST-2317,312,490,408,450,362,495,346
ST-2318,41,332,409,16,28,14,96
ST-2319,216,127,8,628,33,496,4
ST-2320,10,2,9,12,76,14,8
ST-2321,173,117,68,629,530,2,38
ST-2322,16,2,45,630,36,39,42
ST-2323,70,491,7,631,100,149,164
ST-2324,117,124,284,470,76,65,17
ST-2325,230,38,228,632,236,216,209
ST-2326,11,41,55,42,34,58,541
ST-2327,11,41,16,13,34,13,4
ST-2328,43,41,16,13,41,13,4
ST-2329,43,41,16,13,531,13,4
ST-2330,22,11,25,21,102,23,4
ST-2331,1,1,1,633,1,1,5
ST-2332,3,3,7,4,3,446,7
ST-2333,528,46,25,42,40,23,3
ST-2334,10,7,12,9,112,197,2
ST-2335,346,3,108,524,2,319,126
ST-2336,48,31,35,14,26,40,542
ST-2337,1,1,2,1,1,497,5
ST-2338,1,492,1,1,1,1,5
ST-2339,529,1,2,3,1,1,5
ST-2340,2,14,410,14,37,19,8
